access,aerial_photograph,architecture,botany_chk,bridge_chk,building_chk,church_chk,dam_chk,chipped_stone,condition,description_environment,description_position,easting,elevation,entered_by,entered_date,extraction_chk,geomorphology_chk,ground_stone_chk,hellenistic_or_roman_chk,iron_age_chk,intensive_survey_zone,kiln_chk,lithics_chk,locality,mine_adit_chk,medieval_or_ottoman_chk,modern_chk,northing,other_structure_chk,plot_village,posi_no,pottery,pottery_chk,prehistoric_chk,recorded_by,recorded_date,posi_references,road_chk,rock_chk,settlement_chk,shrine_chk,sheet_map_1_5000,village_plan,sia_number,sketch_chk,slag,slag_chk,source,summary,team_leader,threshing_floor_chk,tile,tomb_chk,topography,vegetation,view_chk,village,visibility_percent
"Take dirt road from Asinou settlement, following lower routes until reaching other side of valley.  From forest road starting from Asineon Cafi along North side of valley.",,Abundant,No,No,Yes,No,Yes,None,"Fairly good. In some places, the walls have tumbled down but the basic structure seems solid. Overgrown with wild oats.Very ruinous to not-quite-so ruinous.","Relatively clear patch in the forest between the forest road and Argaki ton Rotson / Potamos Rotson.  Steep slopes covered in dried grass, wild oats, scattered pines, cistus, capers and other sharp shrubs.","Appears to be a single structure from South to North. Divided into three rooms. Entering the first room from the south, its outer dimensions are: length is 11 m and width is 4 m. The second room has a length of 6 m and a width of 4 m. The third room has a length of 7 m and a width of 3.5 m. Walls are made out of ground stone [ie. river cobbles?] with pottery and tile. On the inner North wall of the first room is a niche/shelf. Further West up the slope towards the road is a wall that starts at the middle of the second room and turns around. Also, to the West is a possible well and maybe a threshing floor. Also a replica of the building aforementioned. After having consulted the cadastral it can be seen that the POSI functioned as a sheepfold. A  circular oven is also recorded as well as 3 other sheepfold  structures nearby.(Full description in TAESP 2002 Team Settlement Notebook.  Measured ground plan: Drawing No. RJM-01-01)Four clusters of structures marked on cadastral plan as 'sheepfolds' (this is possibly a secondary use).  The two North clusters are generally well-built with square stones with pottery and stone chinking and mud bonding.  The two South clusters are less well defined, consisting of bays duginto the hillside with partial stone reinforcing walls.  Raised areas and earth platforms may be the result of decayed mudbrick.Possible paths cross the gully between North and South areas.  These could be forestry planting terraces (maybe re-used paths).Two gullies, 1 between North and South areas of structures and 1 North of structures contained a considerable number of check dams, probably built by the Forestry Department in the 1950s.Pater Kyriakos of Nikitari said that this, and Ag. Yeorgios (TP125), was the winter settlement for the shepherds of Spilia. 1 August 2002.The following coordinates will tie the drawing grid into the UTM grid and will become useful when GIS becomes involved:E50/N0 - 495295/3876494/589mE0/N0 -495242/3876497/618mE0N/30 - 495246/3876525/599mW50/N0 - 495200/3876497/609mE0/S30 - 495247/3876466/605mE0/S70 - 495244/3876433/611mE30/S60 -495266/3876443/606mW40/S60 - 495208/3876449/613m",495242.00,618.00,EAS,21/7/2001 00:00:00,No,No,Unclear,No,No,Asinou,No,No,Mandres tous Jerenides,No,Yes,Yes,3876497.00,No,,TP038,Some,No,No,EAS,21/7/2001 00:00:00,,No,No,Yes,No,,,,Yes,None,No,GPS,"Tumbledown structures: two sets of three rooms adjoining each other, a possible threshing floor, a possible well and check dams.  Four clusters of ruined structures on two ridges separated by a gully.",ESG,No,Some,No,Buildings are aligned North-South.  On two noses with East aspect separated by a gully.,"Pine trees and wild oats.  Alium, 1 domesticated olive, terebinth, curry plant.",No,Nikitari,0.00
,,,No,No,No,No,No,,,,"NB: Nicolaou's note doesn't give any cadastral plot, so 199 is a guess. We've heard from people in Katydhata etc about these tombs; someone may even have been taken to see them (Jay, Georgia, Lina?). There are clearly lots more there. Evrykhou Panatsas (= Pano Atsas) Tomb 1XXVIII/38. 3 miles E of EvrykhouCyprusMuseum inventory 1963/XII-10/1 (M.P. 72/38)Cypro-Archaic . Cypro-ClassicalNicolaou I. 1984: 234, n. 2Evrykhou Panatsas (= Pano Atsas) Tomb 2 XXVIII/38. 3 miles E of EvrykhouCyprus Museum inventory 1963/XII-10/2 (M.P. 72/38)Cypro-Archaic . Cypro-ClassicalNicolaou I. 1984: 234, n. 2",493445.00,,MJG,6/1/2005 00:00:00,No,No,,No,Yes,,No,No,Pano Atsas,No,No,No,3880710.00,No,,TP101,,No,No,MJG,6/1/2005 00:00:00,,No,No,No,No,,,,No,,No,Image Print,Excavated Archaic and Classical tombs (Evrykhou Tombs 1 and 2),,No,,Yes,,,No,Evrykhou,
Adjacent to tarmac road on W side of Karkotis Valley,,Some,No,No,Yes,No,No,None,Eroding,"SIA overlies low-sloping (c. 6 degrees) E-facing Holocene (active) pediment apron along base of N-trending basalt hills/ridge of western valley wall. Sediment native to site is thing (< 25 cm) and composed of basalt and calcareous fragments of vein K3 + petrocalcic soil horizons in the pillow lavas. Local concentrations of 30-80 cm thick deposits of SCL to L textured soils (tilled) and deposits (section at TP119). In section, at TP119, there appear to be aligned stones and 'muddier' deposits below a 25-40 cm thick thin-bedded pebble to gravelly SL-LS deposit; and infilled channels (one is a rill, the other is a c. 0.8 x 3 m channel) with accretionery beds of pebbles and finer grained beds. Gully is located to S and is seasonally flowing. Water source is likely the Karkotis Valley c. 100 m away.","Section cut by bulldozer, c. 25 m long. On western edge of newly cut field, directly under northern group of beehives. Mujch of Western part of field is cut out of bedrock; only occasional sherds. Above (W of) terrace is fairly level terrace, then gully, then thin-soiled hillslope. Rubble wall (c. 2 courses high), with layer of melted mud brick above it, then 30-40 cm of slope wash. Lots of Roman pottery eroding out. 6 organic PUs collection from section: PU01-PU05 (strata 1-5) and PU06 (surface). Material includes lots of pottery, 1 chipped stone, 1 ground stone, 2 mortars. NB: this used to be TP119, but on 7/1/05 MJG created it as a separate POSI to distinguish it from the grid (which remains TP119)",488840.00,,MJG,30/7/2002 00:00:00,No,No,None,Yes,No,Karkotis,No,No,Pano Limna,No,No,No,3882085.00,No,,TP252,Abundant,Yes,No,MJG,30/7/2002 00:00:00,,No,No,Yes,No,,,TS15,No,None,No,Image Print,LR architecture and pottery appearing in bulldozed section,MJG,No,Some,No,Pediment (slope) cut by Hht,Batha above (to W); plough soil below (to E),No,Katydhata,90.00
"By road from North, heading South to Mandres",63-48-112,Abundant,No,Yes,No,No,No,None,"Well-preserved, although top of the bridge walls have been partially robbed of stone","Bridge crossing small valley, surrounded by agricultural fields and an almond grove. North side of dried stream bed rises steeply to agricultural land. Above fields on Southern side of stream are rocky hillslopes with basalt dykes and small gullies.","Three-arched road bridge, from colonial period. Made from pale yellow sandstone blocks - irregular blocks except around the arches which are shaped and and regular. Keystones distinct. Wall of bridge is partially plastered. Base of bridge is obscured by sediment buildup. River channel does not seem to be active, judging by amount of dumped material in channel. Bridge crosses channel from NE to SW. Road surface is tarmac.Bridge Width: 5.1 m. Width of road crossing bridge: 4.3 m. Bridge height: approx. 2.8 m. Bridge length: 18.3 m",495800.00,260.00,EAS,8/7/2001 00:00:00,No,No,None,No,No,Mandres,No,No,Mandres,No,No,Yes,3882360.00,No,,TP020,Some,No,No,SED,8/7/2001 00:00:00,Kitchener map. Nicolls' 1901 report (SA1/1922/1899),No,No,No,No,28-XV,,,Yes,None,No,Aerial,Three-arched single-track colonial road bridge,ESG,No,Some,No,Drainage Channel,"Pine, scrub, cultivated wheat",No,Kato Koutraphas,90.00
On unsealed road,63-48-112,Abundant,No,No,Yes,No,No,Some,,"Deserted village, terraces of the gorge ""Argaki ton Mandron""","The central area contains the majority of the buildings and threshing floors. Some new cutting of roads have taken place, cutting through threshing floors.",495720.00,280.00,EAS,17/7/2001 00:00:00,No,No,Some,No,No,Mandres,No,No,Mandres,No,Yes,Yes,3881570.00,No,,TP021,Some,No,No,HFJ,16/7/2001 00:00:00,,No,No,Yes,No,28-XXIII,,TS07,No,Some,No,Image Print,"Mandres, central village area, including houses, streets, etc.",HFJ,No,Some,No,Shallow alluvial terraces,"Built up, village area has some eucalyptus trees and grass",No,Kato Koutraphas,
"Dirt track, running east of building, North-south direction.",63-35-026,Abundant,No,No,Yes,No,No,None,"South and west walls (bottom few courses) are surviving. the rest collapsed inwards and outwards.  where the walls have survived they are roughly at the same level, suggesting a different unpreserved material for the upper courses.","On dirt track leading from slag heap, approximately 50 m north.  To the south and west are uncultivated fields and to the north there are cultivated fields. Backs on to a concrete irrigation channel, also elevated 0.5m from the level of the dirt track. SW of POSI obscured by wild olive and briar. Several very large boulders have been bulldozed up against the side of the POSI, probably during dirt track construction.","A partially collapsed stone built structure. 3.30 x 4.70 m. Building materials consist of pottery, tile, slag, limestone (not local).  These are used as chinking ie. used as filling between small boulders and cobbles. Two stone built niches in south western wall: 1) 40 x 35 cm; depth 35 cm. 2) 40 x 40 cm; depth 30 cm. Aesthetic use of tile to fill between stones; preferential use of tiles. Part of the foundation is dirt and boulders where possible.",503200.00,365.00,CJA,31/7/2001 00:00:00,No,No,None,No,No,Xyliatos,No,No,Mavrovouni,No,Yes,No,3878010.00,No,,TP022,Some,No,No,CJA,10/7/2001 00:00:00,,No,Yes,No,No,29-XXVII,,TS02,Yes,Some,No,Aerial,"Small, stone built structure, two niches in west wall",AGR,No,Some,No,Set on the edge of an alluvial terrace.,"Wild grasses, wild barley, asphodel, wild olive trees.",No,Ayia Marina,10.00
"Set 5m back from dirt track on eastern side,running north from slag heap",63-35-026,Some,No,No,No,No,No,None,Heavily disturbed possibly due to constuction of irrigation channel.,"South-west at rear of TP022.  45 m north from slag heap.  On dirt track leading from slag heap, approximately 50 m north.  To the south and west are uncultivated fields and to the north there are cultivated fields. Backs on to a concrete irrigation channel, also elevated 0.5m from the level of the dirt track. SW of POSI obscured by wild olive and briar. Several very large boulders have been bulldozed up against the side of the POSI, probably during dirt track construction.","Possible remains of boulder built enclosures.  Adjacent/attached to POSI TP022.  Heavily overgrown and cut by a modern irrigation channel to the west.  Probably integrated to POSI TP022.(NB: MJG & KWJ unconvinced that there is a structure here; the rubble piles are very irregular, and there are no clear patches of face surviving)",503195.00,365.00,CAT,31/7/2001 00:00:00,No,No,None,No,No,Xyliatos,No,No,Mavrovouni,No,No,No,3878005.00,Yes,,TP023,None,No,No,CJA,10/7/2001 00:00:00,,No,Yes,No,No,29-XXVII,,TS02,Yes,None,No,Aerial,Possible stone built enclosure adjacent to structure TP022,AGR,No,None,No,Alluvial terrace east of uncultivated fields,"Wild grasses and barley, wild olive and hawthorn trees",No,Ayia Marina,10.00
North end of wall/pathway starts behind (west) of large slag heap.,63-35-026,Abundant,No,No,No,No,No,None,Southern section - reconstructed and maintained. Northern section - dilapidated and collapsed.,"All areas to the east are cultivated plots.  To the west; uncultivated alluvial terrace.  This terrace has several large rock heaps and walls.  POSI wall situated on border between the two areas, flanked by new type pipe irrigation system to the east, and older concrete irrigation channel to the west.  Wild grass along possible pathway  heavily trampled indicated probable use on a regular basis. Next to Cadastral Plot 628","Stone built wall 1.32 m wide comprising of river boulders with slag and cobble infill of varying sizes. The pathway is visible from 503255E/3877615N to 503243E/3877930N (c. 115 m).  The pathway/wall appears divided into two sections at 503245E/3877870N. The southern section has been raised in order to support the now abandoned concrete irrigation system and provide necessary height for gravitational water flow.  he northern section, which ends at the slag heap, is 0.9 m lower than the southern section, and may be nearer to the older land surface.  he question that arises from this is: is there a relationship between this wall/pathway and the slag heap? The wall on the west side of the southern section is up to 1.13 m high and the path on the wall is 41 cm below highest point of the wall.",503240.00,365.00,ATB,31/7/2001 00:00:00,No,No,None,No,No,Xyliatos,No,No,Mavrovouni,No,No,No,3877915.00,Yes,,TP024,None,No,No,PLP,10/7/2001 00:00:00,,Yes,No,No,No,29-XXVII,,TS02,Yes,Some,No,Aerial,Stone built wall (large boulders) associated with possible pathway.,AGR,No,None,No,Situated on broad uncultivated terrace between river and olive grove.,"Wild grasses, spiny burnet, thistles and nettles.",No,Ayia Marina,10.00
Road,63-35-036,Abundant,No,No,Yes,Yes,Yes,None,Only 10m maximum is visible from the wall. Wall is currently used as both terrace for grapes as well as the northern part of the river bank. Sediment is built up at least 70 of a metre on the outside of the wall due to river deposition. South western port,Wall of church (runs south east) is located on north side of the Asinou River / Potamos. Wall has been used as a means of terracing. Olive grove and small terraces are located to the north of this wall.,"POSI consists of an ashlar wall that runs 46 degrees off north. The wall is very well built - 4 courses high on average with 5 high in some areas. Width of wall is unknown, but from the rubble that is visible it seems at least 1 m. Maximum length visible is 10 m. Width of rubble filled with what appears to be mortar. Ashlar blocks interspersed with square cobbles. Tile in mortar.",496955.00,400.00,LAM,23/7/2001 00:00:00,No,No,None,No,No,Asinou,No,No,Pera Yitonia,No,Yes,No,3877890.00,No,,TP039,Some,No,No,ESG,20/7/2001 00:00:00,,No,No,No,No,,,TS12,Yes,None,No,Aerial,Ashlar wall belonging to ruins of church of Ayios Ioannis.,ESG,No,Some,No,River bank,"Grape, poplar, rushes, brambles, olive grove, bamboo.",No,Nikitari,40.00
Track to top of ridge.,,Abundant,No,No,No,No,No,None,,At top of a north/south ridge. Tomb located at northern end. Picnic area at south of ridge. Overlooks mine to the north. Lots of young trees have recently  been planted all over the entire ridge. Bulldozing has occurred.,"Rectangular shaped depression with narrower entrance channel coming in at angle. Cut into rock. Current bottom is approximately 1m from surface of ground. Charcoal and metal debris on bottom. 5m in length from start of entrance channel to back wall of tomb. 1.6m in width. Entrance channel 2m long, 90cm width...Actually, it turns out these are foxholes.",489917.00,314.00,LHS,24/7/2001 00:00:00,No,No,None,No,No,Karkotis,No,No,Laonarka,No,No,Yes,3882083.00,No,,TP040,Some,No,No,JLH,19/7/2001 00:00:00,,No,No,No,No,28-XX,,TS09,Yes,None,No,,"Fox-hole, originally thought to be a tomb",HFJ,No,None,No,Hilltop,"Very young conifers, urtica, spiny burnett",No,Katydhata,
Via ford at point close to where the two river channels meet.,63-35-026,Abundant,No,No,No,No,Yes,None,Excellently maintained,Cadastral Plot number 593-594?An olive tree sits just south of the platform.  To the west is a flat tilled field.  Immediately adjacent is a lower terrace on same line with dead wild grass on and three almond trees.  To east of platfrom the riser is sloped with no retaining wall.,The platform is c. 9m across and 3.5m deep.  The platform's north edge with retaining wall follows the same line as the lower retaining wall of the next terrace.  The construction seems to be of the same date.  It is unusual in that the wall is not at the lower level of the adjacent terrace.   Constructed from river boulders.,503190.00,360.00,CJA,27/7/2001 00:00:00,No,No,None,No,No,Xyliatos,No,No,Kato Kremasha,No,Yes,Yes,3878245.00,No,,TP041,None,No,No,AGR,22/7/2001 00:00:00,,No,No,No,No,29-XXVII,,TS02,No,None,No,Aerial,Platform with 2.5 m high retaining wall.,AGR,No,None,No,Highest terrace of steep terraces down to east channel,Almond trees and tree on terrace below barley ( 2 rows) on the platform,No,Ayia Marina,
Just above dirt road off main dirt road near beehives at TS02,63-35-026,Unclear,No,No,No,No,No,None,Totally collapsed,"Situated below terraced orchards, rocky outcrops just to north of structure.  Young pines dotted around the area.  Hillslope = c.20 degrees, aspect west.Predominantly colluvial hillslope with some evidence of rilling.  in area around structure thyme is zero, spiny burnet is dominant.","Totally collapsed structure.  Appears to have two rooms, one is c. 5m (N-S) x 3m (E-W) the smaller room is approx. 3m (N-S) x c. 1.90m (E-W).  the area above to the east is flat and it is possible that the structure wall have acted as a retaining wall and collected sediment.  JSN has suggested that the lichenation on the stones of the structure those on the terrace walls to the east are similar and suggest a link.  A few tiny sherds are visible just downslope.  Both AGR and PCB debated as to whether this was a structure at all.  The extent of the smaller one is very unclear and the faces of the larger structure are also unclear. 20m downslope of the structure is a riser (walled) (collapsed) and just down slope of this are some potsherds.",503460.00,,CJA,27/7/2001 00:00:00,No,No,None,No,No,Xyliatos,No,No,Kato Kremasha,No,No,No,3878235.00,Yes,,TP042,Some,No,No,AGR,23/7/2001 00:00:00,,No,Yes,No,No,29-XXVII,,TS02,Yes,None,No,Aerial,Possible collapsed structure,AGR,No,None,No,"Situated in QCA, on hillslope (non-terraced),  GU0656","Spiny burnet, no thyme, wild oats, short wild grass, pine",No,Ayia Marina,40.00
